Ref,Val,Package,PosX,PosY,Rot,Side
"R_FLASH_CS1","10k","R_0402_1005Metric",161.000000,-99.750000,180.000000,top
"R_LED1","1k","R_0402_1005Metric",163.490000,-106.750000,0.000000,top
"R_LED2","1k","R_0402_1005Metric",159.010000,-106.750000,0.000000,top
"R_LED3","1k","R_0402_1005Metric",161.250000,-106.750000,0.000000,top
"R_VBAT_D1","100k","R_0402_1005Metric",143.250000,-107.510000,-90.000000,top
"R_VBAT_D2","10k","R_0402_1005Metric",144.250000,-107.510000,90.000000,top
"TP_5VIDEO_0","Test Point","TestPoint_Pad_D1.0mm",130.750000,-99.500000,0.000000,top
"TP_VBAT_ADC_0","Test Point","TestPoint_Pad_D1.0mm",141.700000,-104.500000,180.000000,top
"U_BUCK1","LMR14030SDDAR","SOIC127P600X170-9N",135.200000,-102.400000,90.000000,top
"U_MCU1","STM32F722RETx","LQFP-64_10x10mm_P0.5mm",150.000000,-95.000000,0.000000,top
